"","","","","","","","","","",""
"","","","","","","","","","",""
"Provincia","PIA","PIM","Certificación","Compromiso Anual","Ejecución","","","Avance % ","",""
"","","","","","Atención de Compromiso Mensual ","Devengado ","Girado ","","",""
"0806: CANCHIS","86,570,180","226,326,675","207,678,526","193,882,970","183,815,433","175,940,826","175,887,021","  77.7","73",""
"0807: CHUMBIVILCAS","167,589,851","543,336,613","488,464,400","443,334,933","422,690,287","372,011,855","371,996,256","  68.5","74",""
"0808: ESPINAR","213,646,879","450,564,829","388,249,559","360,755,744","353,278,069","335,981,965","335,977,268","  74.6","75",""
"0809: LA CONVENCION","758,022,828","2,062,222,291","1,783,983,258","1,526,932,357","1,441,455,952","1,406,664,139","1,406,513,337","  68.2","76",""
"0810: PARURO","41,415,097","135,668,291","118,259,318","111,813,893","110,503,759","102,360,347","102,360,063","  75.4","77",""
"0811: PAUCARTAMBO","78,543,243","212,788,647","181,287,964","168,167,262","163,824,129","156,105,913","156,097,383","  73.4","78",""
"0812: QUISPICANCHIS","125,864,817","320,105,910","292,603,744","279,160,327","274,950,781","273,561,618","273,497,057","  85.5","79",""
"0813: URUBAMBA","76,928,394","211,420,851","192,132,845","177,064,964","173,153,054","158,640,812","158,609,390","  75.0","80",""
"0901: HUANCAVELICA","94,792,245","275,629,631","250,809,027","220,888,035","214,904,998","200,932,674","200,900,084","  72.9","81",""
"0902: ACOBAMBA","35,073,458","110,177,928","100,027,337","90,616,048","85,051,725","82,754,751","82,632,574","  75.1","82",""
"0903: ANGARAES","48,541,175","132,208,132","112,578,929","100,890,526","88,733,789","85,090,790","85,067,050","  64.4","83",""
"0904: CASTROVIRREYNA","19,069,614","78,723,564","68,553,231","58,408,849","57,396,486","54,400,788","54,392,867","  69.1","84",""
"0905: CHURCAMPA","25,441,288","91,881,782","84,130,385","77,289,216","76,531,486","72,781,316","72,781,066","  79.2","85",""
"0906: HUAYTARA","22,291,850","91,369,572","78,632,765","69,680,756","67,606,304","66,634,259","66,627,313","  72.9","86",""
"0907: TAYACAJA","80,711,775","245,392,547","233,424,808","218,703,827","216,507,751","194,965,288","194,963,399","  79.5","87",""
"1001: HUANUCO","123,520,941","256,718,751","248,671,147","239,926,771","231,617,695","223,143,388","223,061,314","  86.9","88",""
"1002: AMBO","63,337,941","171,996,503","168,390,097","161,524,026","119,592,160","109,411,390","109,408,904","  63.6","89",""
"1003: DOS DE MAYO","31,072,178","80,176,279","77,311,942","75,329,392","63,530,012","61,206,817","61,206,817","  76.3","90",""
"1004: HUACAYBAMBA","9,551,510","26,195,333","23,294,369","18,678,020","18,581,075","18,505,131","18,503,031","  70.6","91",""
"1005: HUAMALIES","35,052,645","111,529,732","106,167,456","101,889,391","99,070,423","94,531,102","94,504,457","  84.8","92",""
"1006: LEONCIO PRADO","63,216,001","171,676,661","162,478,186","134,579,820","131,521,224","125,478,932","125,445,130","  73.1","93",""
"1007: MARANON","19,240,885","67,243,421","61,640,355","58,081,024","55,722,346","53,460,530","53,459,290","  79.5","94",""
"1008: PACHITEA","40,295,690","109,225,181","105,202,242","87,623,623","82,970,008","74,312,679","74,311,839","  68.0","95",""
"1009: PUERTO INCA","38,489,340","89,788,850","81,649,913","74,822,956","73,895,875","68,605,101","68,601,833","  76.4","96",""
"1010: LAURICOCHA","25,347,869","76,407,671","72,861,317","67,402,754","64,662,014","64,322,185","64,322,185","  84.2","97",""
"1011: YAROWILCA","17,210,355","55,919,192","52,647,564","46,070,552","42,895,642","40,657,698","40,657,573","  72.7","98",""
"1101: ICA","252,552,454","561,470,187","457,165,650","357,879,749","341,130,447","338,015,367","337,987,480","  60.2","99",""
"1102: CHINCHA","146,607,498","429,415,455","397,856,734","339,912,998","305,023,946","301,288,368","301,282,398","  70.2","100",""
"1103: NAZCA","225,483,172","688,255,939","615,297,090","454,654,039","401,003,946","382,917,677","382,917,594","  55.6","101",""
"1104: PALPA","15,244,185","36,319,523","32,743,212","24,550,963","21,891,609","21,835,669","21,825,351","  60.1","102",""
"1105: PISCO","136,262,292","359,053,030","314,613,506","241,849,639","235,270,933","225,079,383","225,079,383","  62.7","103",""
"1201: HUANCAYO","193,374,930","388,124,854","370,006,535","352,819,254","341,678,298","316,920,416","316,870,263","  81.7","104",""
